count	id	first_name	last_name	points	spended_time
1	5	first_name5	last_name	7	8769.0
2	6	first_name6	last_name	0	9431.0
3	7	first_name7	last_name	1	3489.0
4	8	first_name8	last_name	9	7910.0
5	9	first_name9	last_name	9	2794.0
6	10	first_name10	last_name	0	1025.0
7	11	first_name11	last_name	3	5461.0
8	12	first_name12	last_name	8	3766.0
9	13	first_name13	last_name	11	8321.0
10	14	first_name14	last_name	9	7468.0
11	15	first_name15	last_name	11	911.0
12	16	first_name16	last_name	7	5149.0
13	17	first_name17	last_name	0	4960.0
14	18	first_name18	last_name	5	4030.0
15	19	first_name19	last_name	5	8037.0
16	20	first_name20	last_name	3	416.0
17	21	first_name21	last_name	11	9281.0
18	22	first_name22	last_name	4	191.0
19	23	first_name23	last_name	0	2979.0
20	24	first_name24	last_name	7	6349.0
21	25	first_name25	last_name	4	4818.0
22	26	first_name26	last_name	4	4789.0
23	27	first_name27	last_name	4	4668.0
24	28	first_name28	last_name	1	1857.0
25	29	first_name29	last_name	1	7080.0
26	30	first_name30	last_name	6	4363.0
27	31	first_name31	last_name	0	5860.0
28	32	first_name32	last_name	0	9017.0
29	33	first_name33	last_name	4	65.0
30	34	first_name34	last_name	6	2306.0
31	35	first_name35	last_name	11	2457.0
32	36	first_name36	last_name	9	5317.0
33	37	first_name37	last_name	10	8108.0
34	38	first_name38	last_name	12	775.0
35	39	first_name39	last_name	7	2924.0
36	40	first_name40	last_name	6	5090.0
37	41	first_name41	last_name	11	7241.0
38	42	first_name42	last_name	6	9033.0
39	43	first_name43	last_name	2	3245.0
40	44	first_name44	last_name	9	6659.0
41	45	first_name45	last_name	4	8516.0
42	46	first_name46	last_name	7	6173.0
43	47	first_name47	last_name	0	640.0
44	48	first_name48	last_name	1	114.0
45	49	first_name49	last_name	2	9599.0
46	50	first_name50	last_name	12	2816.0
47	51	first_name51	last_name	4	5700.0
48	52	first_name52	last_name	8	6797.0
49	53	first_name53	last_name	11	3465.0
50	54	first_name54	last_name	1	8838.0
51	55	first_name55	last_name	6	4567.0
52	56	first_name56	last_name	1	7056.0
53	57	first_name57	last_name	6	287.0
54	58	first_name58	last_name	3	1696.0
55	59	first_name59	last_name	12	3594.0
56	60	first_name60	last_name	7	2674.0
57	61	first_name61	last_name	10	7293.0
58	62	first_name62	last_name	7	4705.0
59	63	first_name63	last_name	1	3829.0
60	64	first_name64	last_name	11	5642.0
61	65	first_name65	last_name	7	9227.0
62	66	first_name66	last_name	5	9768.0
63	67	first_name67	last_name	9	8512.0
64	68	first_name68	last_name	7	8248.0
65	69	first_name69	last_name	0	189.0
66	70	first_name70	last_name	12	6900.0
67	71	first_name71	last_name	5	216.0
68	72	first_name72	last_name	2	3274.0
69	73	first_name73	last_name	0	9330.0
70	74	first_name74	last_name	7	3452.0
71	75	first_name75	last_name	12	791.0
72	76	first_name76	last_name	7	531.0
73	77	first_name77	last_name	4	1739.0
74	78	first_name78	last_name	9	8229.0
75	79	first_name79	last_name	6	2374.0
76	80	first_name80	last_name	9	7180.0
77	81	first_name81	last_name	3	4530.0
78	82	first_name82	last_name	7	4315.0
79	83	first_name83	last_name	0	5772.0
80	84	first_name84	last_name	0	1232.0
81	85	first_name85	last_name	5	5075.0
82	86	first_name86	last_name	6	8856.0
83	87	first_name87	last_name	0	7597.0
84	88	first_name88	last_name	6	6826.0
85	89	first_name89	last_name	5	5659.0
86	90	first_name90	last_name	0	1676.0
87	91	first_name91	last_name	1	7384.0
88	92	first_name92	last_name	11	880.0
89	93	first_name93	last_name	11	2858.0
90	94	first_name94	last_name	5	8838.0
91	95	first_name95	last_name	3	5585.0
92	96	first_name96	last_name	4	6928.0
93	97	first_name97	last_name	5	3665.0
94	98	first_name98	last_name	4	9761.0
95	99	first_name99	last_name	3	5908.0
96	100	first_name100	last_name	7	5544.0
97	101	first_name101	last_name	9	8418.0
98	102	first_name102	last_name	11	3899.0
99	103	first_name103	last_name	3	1593.0
100	104	first_name104	last_name	8	2030.0
101	105	first_name105	last_name	6	7450.0
102	106	first_name106	last_name	12	2058.0
103	107	first_name107	last_name	9	9052.0
104	108	first_name108	last_name	9	4665.0
105	109	first_name109	last_name	12	2943.0
106	110	first_name110	last_name	6	6703.0
107	111	first_name111	last_name	2	2289.0
108	112	first_name112	last_name	0	6625.0
109	113	first_name113	last_name	6	122.0
110	114	first_name114	last_name	8	9855.0
111	115	first_name115	last_name	0	1669.0
112	116	first_name116	last_name	12	1449.0
113	117	first_name117	last_name	2	3595.0
114	118	first_name118	last_name	8	2620.0
115	119	first_name119	last_name	10	8106.0
116	120	first_name120	last_name	11	6944.0
117	121	first_name121	last_name	3	5462.0
118	122	first_name122	last_name	12	2693.0
119	123	first_name123	last_name	1	7949.0
120	124	first_name124	last_name	1	6531.0
121	125	first_name125	last_name	6	1487.0
122	126	first_name126	last_name	9	8877.0
123	127	first_name127	last_name	10	994.0
124	128	first_name128	last_name	8	2331.0
125	129	first_name129	last_name	7	9766.0
126	130	first_name130	last_name	4	7935.0
127	131	first_name131	last_name	1	7655.0
128	132	first_name132	last_name	3	636.0
129	133	first_name133	last_name	12	2403.0
130	134	first_name134	last_name	1	6728.0
131	135	first_name135	last_name	4	244.0
132	136	first_name136	last_name	3	441.0
133	137	first_name137	last_name	11	6280.0
134	138	first_name138	last_name	6	6564.0
135	139	first_name139	last_name	1	4871.0
136	140	first_name140	last_name	4	2422.0
137	141	first_name141	last_name	1	6420.0
138	142	first_name142	last_name	10	9853.0
139	143	first_name143	last_name	9	1949.0
140	144	first_name144	last_name	6	5724.0
141	145	first_name145	last_name	9	2262.0
142	146	first_name146	last_name	3	9416.0
143	147	first_name147	last_name	1	1385.0
144	148	first_name148	last_name	6	764.0
145	149	first_name149	last_name	9	8027.0
146	150	first_name150	last_name	2	3480.0
147	151	first_name151	last_name	8	6601.0
148	152	first_name152	last_name	2	7342.0
149	153	first_name153	last_name	12	7071.0
150	154	first_name154	last_name	7	342.0
151	155	first_name155	last_name	10	9870.0
152	156	first_name156	last_name	5	187.0
153	157	first_name157	last_name	11	4073.0
154	158	first_name158	last_name	6	106.0
155	159	first_name159	last_name	6	8700.0
156	160	first_name160	last_name	9	8358.0
157	161	first_name161	last_name	12	1777.0
158	162	first_name162	last_name	2	4968.0
159	163	first_name163	last_name	9	5795.0
160	164	first_name164	last_name	2	3562.0
161	165	first_name165	last_name	6	770.0
162	166	first_name166	last_name	8	7198.0
163	167	first_name167	last_name	9	3062.0
164	168	first_name168	last_name	10	9191.0
165	169	first_name169	last_name	2	9669.0
166	170	first_name170	last_name	10	3010.0
167	171	first_name171	last_name	2	3549.0
168	172	first_name172	last_name	6	7466.0
169	173	first_name173	last_name	7	4075.0
170	174	first_name174	last_name	5	3862.0
171	175	first_name175	last_name	1	7427.0
172	176	first_name176	last_name	5	2137.0
173	177	first_name177	last_name	5	6249.0
174	178	first_name178	last_name	11	100.0
175	179	first_name179	last_name	7	8168.0
176	180	first_name180	last_name	1	3152.0
177	181	first_name181	last_name	2	9479.0
178	182	first_name182	last_name	8	9737.0
179	183	first_name183	last_name	6	2792.0
180	184	first_name184	last_name	6	8828.0
181	185	first_name185	last_name	6	7375.0
182	186	first_name186	last_name	11	2156.0
183	187	first_name187	last_name	8	8030.0
184	188	first_name188	last_name	9	5063.0
185	189	first_name189	last_name	6	8608.0
